id,name,duration,artist_name,is_explicit,time_signature,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,Pop,Rock,Hip Hop,Folk,Metal,Blues,Jazz
33xMbeHzmWd6Od0BmLZEUs,2K,152560,Nosaj Thing,False,3,0.31,0.445,7,-13.355,0,0.0863,0.094,0.0678,0.113,0.122,95.36,0,0,1,0,0,0,0,0
3UnyplmZaq547hwsfOR5yy,4 Billion Souls,197706,The Doors,False,4,0.419,0.565,5,-11.565,1,0.0347,0.137,0.337,0.128,0.648,151.277,25,0,1,0,0,0,0,0
1w8QCSDH4QobcQeT4uMKLm,4 Minute Warning,244284,Radiohead,False,4,0.354,0.302,9,-13.078,1,0.0326,0.59,0.0709,0.111,0.223,123.753,1,0,1,0,1,0,0,0
7J9mBHG4J2eIfDAv5BehKA,7 Element,249939,Vitas,False,4,0.727,0.785,5,-6.707,0,0.0603,0.325,0.126,0.31,0.96,129.649,0,0,0,1,0,0,0,0
1VZedwJj1gyi88WFRhfThb,#9 Dream,278320,R.E.M.,False,4,0.571,0.724,0,-5.967,1,0.026,0.0231,0.00311,0.0919,0.385,116.755,6,1,1,0,0,0,0,0
3DSmOF7ETJHAQEqqgoSJao,#9 Dream,247066,a-ha,False,4,0.579,0.777,4,-7.505,1,0.0304,0.0177,0.000248,0.422,0.481,109.994,10,1,1,0,0,0,0,0
5HPnumlogzZtpLEaORZjz1,10 Lovers,213226,The Black Keys,False,4,0.606,0.638,3,-6.994,0,0.0339,0.0434,0.000247,0.0887,0.817,97.992,53,0,1,0,0,0,1,0
6i99ThziImjuFABb8rUQvy,11th Dimension,243333,Julian Casablancas,False,4,0.574,0.925,6,-2.766,0,0.0463,0.00164,0.0243,0.115,0.369,125.501,55,0,1,0,0,0,0,0
0nkLI0pdyTRpq7BsTFBufZ,12:51,153133,The Strokes,False,4,0.452,0.889,4,-3.838,1,0.0379,0.312,0.8,0.558,0.591,145.056,0,0,1,0,0,0,1,0
2HvTGx5fzFGpHSyRNvXd9T,12 Bar Original - Anthology 2 Version,175080,The Beatles,False,4,0.6,0.535,9,-8.178,1,0.0298,0.00154,0.102,0.123,0.566,122.678,29,0,1,0,1,0,0,0
2XS4lIQ1bl9KSNsYtkqK46,15 Minutes,273133,The Strokes,False,3,0.337,0.885,2,-3.566,1,0.0419,0.004,0.0378,0.141,0.389,83.001,0,0,1,0,0,0,1,0
6dsq7Nt5mIFzvm5kIYNORy,15 Step,237293,Radiohead,False,4,0.6,0.853,1,-7.584,1,0.0423,0.0489,0.346,0.0934,0.847,94.457,6,0,1,0,1,0,0,0
1wKGGfnznnXIvupuEZt9mM,17,150013,Perfume Genius,False,4,0.396,0.141,6,-16.115,1,0.0294,0.919,0.434,0.339,0.0443,68.03,0,1,1,0,1,0,0,0
7Jjqx75QRHaYsxF5WnHovC,21 Gun Salute,292408,Half Moon Run,False,4,0.594,0.61,11,-10.57,0,0.0388,0.829,0.208,0.077,0.289,129.963,0,0,1,0,0,0,1,0
